Month_Year,Month,Year,WW_samples,Clinical_consensus_seqs
01_2023,01,2023,15,40
01_2024,01,2024,58,208
01_2025,01,2025,120,520
01_2026,01,2026,21,
02_2023,02,2023,9,32
02_2024,02,2024,27,112
02_2025,02,2025,111,240
02_2026,02,2026,37,
03_2023,03,2023,2,
03_2024,03,2024,18,40
03_2025,03,2025,112,104
03_2026,03,2026,21,
04_2023,04,2023,7,
04_2024,04,2024,9,8
04_2025,04,2025,61,40
04_2026,04,2026,7,
05_2023,05,2023,7,
05_2024,05,2024,1,
05_2025,05,2025,27,24
06_2023,06,2023,5,16
06_2024,06,2024,3,
06_2025,06,2025,12,
06_2026,06,2026,6,
07_2023,07,2023,5,
07_2024,07,2024,3,24
07_2025,07,2025,7,
07_2026,07,2026,7,
08_2022,08,2022,0,16
08_2023,08,2023,3,
08_2024,08,2024,10,
08_2025,08,2025,9,8
09_2023,09,2023,7,
09_2024,09,2024,6,24
09_2025,09,2025,10,
10_2022,10,2022,6,
10_2023,10,2023,13,96
10_2024,10,2024,16,
10_2025,10,2025,7,
11_2022,11,2022,17,
11_2023,11,2023,39,72
11_2024,11,2024,38,16
11_2025,11,2025,10,32
12_2022,12,2022,22,24
12_2023,12,2023,49,104
12_2024,12,2024,64,48
12_2025,12,2025,29,
Total,,,1073,1848
